sentence,sentiment,polarity,subjectivity,index
You have come from the rocky shores of Maine and the volcanic peaks of Hawaii; from the snowy woods of Wisconsin and the red deserts of Arizona; from the green farms of Kentucky and the golden beaches of California.,"Sentiment(polarity=0.033333333333333326, subjectivity=0.26666666666666666)",0.033333333,0.266666667,459
"Together, we represent the most extraordinary nation in all of history.","Sentiment(polarity=0.41666666666666663, subjectivity=0.75)",0.416666667,0.75,460
What will we do with this moment?,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,461
How will we be remembered?,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,462
I ask the men and women of this Congress: Look at the opportunities before us.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,463
Our most thrilling achievements are still ahead.,"Sentiment(polarity=0.375, subjectivity=0.75)",0.375,0.75,464
Our most exciting journeys still await.,"Sentiment(polarity=0.4, subjectivity=0.65)",0.4,0.65,465
Our biggest victories are still to come.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,466
We have not yet begun to dream.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,467
We must choose whether we are defined by our differences or whether we dare to transcend them.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,468
We must choose whether we squander our great inheritance or whether we proudly declare that we are Americans.,"Sentiment(polarity=0.8, subjectivity=0.875)",0.8,0.875,469
We do the incredible.,"Sentiment(polarity=0.9, subjectivity=0.9)",0.9,0.9,470
We defy the impossible.,"Sentiment(polarity=-0.6666666666666666, subjectivity=1.0)",-0.666666667,1,471
We conquer the unknown.,"Sentiment(polarity=-0.1, subjectivity=0.6)",-0.1,0.6,472
This is the time to reignite the American imagination.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,473
This is the time to search for the tallest summit and set our sights on the brightest star.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,474
"This is the time to rekindle the bonds of love and loyalty and memory that link us together as citizens, as neighbors, as patriots.","Sentiment(polarity=0.5, subjectivity=0.6)",0.5,0.6,475
"This is our future, our fate, and our choice to make.","Sentiment(polarity=0.0, subjectivity=0.125)",0,0.125,476
I am asking you to choose greatness.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,477
"No matter the trials we face, no matter the challenges to come, we must go forward together.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,478
We must keep America first in our hearts.,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.333333333,479
We must keep freedom alive in our souls.,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,480
"And we must always keep faith in America's destiny that one nation, under God, must be the hope and the promise, and the light and the glory, among all the nations of the world.","Sentiment(polarity=0.4, subjectivity=0.7)",0.4,0.7,481
Thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,482
God bless you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,483
And God bless America.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,484
Thank you very much.,"Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,485
Thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,486
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,487
"
Thank you very much.","Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,488
"Mr. Speaker, Mr. Vice President, Members of Congress, the First Lady of the United States, and citizens of America: Tonight, as we mark the conclusion of our celebration of Black History Month, we are reminded of our Nation's path towards civil rights and the work that still remains to be done.","Sentiment(polarity=0.04166666666666667, subjectivity=0.3833333333333333)",0.041666667,0.383333333,489
"Recent threats targeting Jewish community centers and vandalism of Jewish cemeteries, as well as last week's shooting in Kansas City, remind us that while we may be a nation divided on policies, we are a country that stands united in condemning hate and evil in all of its very ugly forms.","Sentiment(polarity=-0.3871428571428571, subjectivity=0.45952380952380956)",-0.387142857,0.45952381,490
"Each American generation passes the torch of truth, liberty, and justice in an unbroken chain, all the way down to the present.","Sentiment(polarity=-0.051851851851851864, subjectivity=0.09629629629629631)",-0.051851852,0.096296296,491
"That torch is now in our hands, and we will use it to light up the world.","Sentiment(polarity=0.4, subjectivity=0.7)",0.4,0.7,492
"I am here tonight to deliver a message of unity and strength, and it is a message deeply delivered from my heart.","Sentiment(polarity=0.0, subjectivity=0.4)",0,0.4,493
A new chapter of American greatness is now beginning.,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",0.068181818,0.227272727,494
A new national pride is sweeping across our Nation.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.136363636,0.454545455,495
And a new surge of optimism is placing impossible dreams firmly within our grasp.,"Sentiment(polarity=-0.24343434343434342, subjectivity=0.6181818181818182)",-0.243434343,0.618181818,496
What we are witnessing today is the renewal of the American spirit.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,497
Our allies will find that America is once again ready to lead.,"Sentiment(polarity=0.2, subjectivity=0.5)",0.2,0.5,498
"All the nations of the world�friend or foe�will find that America is strong, America is proud, and America is free.","Sentiment(polarity=0.5444444444444444, subjectivity=0.8444444444444444)",0.544444444,0.844444444,499
"In 9 years, the United States will celebrate the 250th anniversary of our founding: 250 years since the day we declared our independence.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,500
It will be one of the great milestones in the history of the world.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,501
But what will America look like as we reach our 250th year?,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,502
What kind of country will we leave for our children?,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,503
I will not allow the mistakes of recent decades past to define the course of our future.,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.20833333333333334)",-0.083333333,0.208333333,504
"For too long, we've watched our middle class shrink as we've exported our jobs and wealth to foreign countries.","Sentiment(polarity=-0.05833333333333333, subjectivity=0.17500000000000002)",-0.058333333,0.175,505
"We've financed and built one global project after another, but ignored the fates of our children in the inner cities of Chicago, Baltimore, Detroit, and so many other places throughout our land.","Sentiment(polarity=0.09375, subjectivity=0.26041666666666663)",0.09375,0.260416667,506
"We've defended the borders of other nations, while leaving our own borders wide open for anyone to cross and for drugs to pour in at a now unprecedented rate.","Sentiment(polarity=0.1625, subjectivity=0.5291666666666667)",0.1625,0.529166667,507
"And we've spent trillions and trillions of dollars overseas, while our infrastructure at home has so badly crumbled.","Sentiment(polarity=-0.3999999999999999, subjectivity=0.3833333333333333)",-0.4,0.383333333,508
"Then, in 2016, the Earth shifted beneath our feet.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,509
"The rebellion started as a quiet protest, spoken by families of all colors and creeds, families who just wanted a fair shot for their children and a fair hearing for their concerns.","Sentiment(polarity=0.4666666666666666, subjectivity=0.7111111111111111)",0.466666667,0.711111111,510
"But then the quiet voices became a loud chorus, as thousands of citizens now spoke out together, from cities small and large, all across our country.","Sentiment(polarity=0.01607142857142857, subjectivity=0.49047619047619045)",0.016071429,0.49047619,511
"Finally, the chorus became an earthquake, and the people turned out by the tens of millions, and they were all united by one very simple, but crucial demand: that America must put its own citizens first.","Sentiment(polarity=0.16999999999999998, subjectivity=0.7595238095238096)",0.17,0.75952381,512
Because only then can we truly make America great again.,"Sentiment(polarity=0.4, subjectivity=0.875)",0.4,0.875,513
Dying industries will come roaring back to life.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,514
Heroic veterans will get the care they so desperately need.,"Sentiment(polarity=0.04999999999999999, subjectivity=0.95)",0.05,0.95,515
Our military will be given the resources its brave warriors so richly deserve.,"Sentiment(polarity=0.3583333333333334, subjectivity=0.6166666666666667)",0.358333333,0.616666667,516
"Crumbling infrastructure will be replaced with new roads, bridges, tunnels, airports, and railways gleaming across our very, very beautiful land.","Sentiment(polarity=0.5681818181818181, subjectivity=0.7272727272727273)",0.568181818,0.727272727,517
"Our terrible drug epidemic will slow down and, ultimately, stop.","Sentiment(polarity=-0.36388888888888893, subjectivity=0.6722222222222223)",-0.363888889,0.672222222,518
"And our neglected inner cities will see a rebirth of hope, safety, and opportunity.","Sentiment(polarity=0.0, subjectivity=0.16666666666666666)",0,0.166666667,519
"Above all else, we will keep our promises to the American people.","Sentiment(polarity=0.0, subjectivity=0.05)",0,0.05,520
[Applause] Thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,521
"It's been a little over a month since my Inauguration, and I want to take this moment to update the Nation on the progress I've made in keeping those promises.","Sentiment(polarity=-0.1875, subjectivity=0.5)",-0.1875,0.5,522
"Since my election, Ford, Fiat Chrysler, General Motors, Sprint, Softbank, Lockheed, Intel, Walmart, and many others have announced that they will invest billions and billions of dollars in the United States and will create tens of thousands of new American jobs.","Sentiment(polarity=0.1715909090909091, subjectivity=0.36363636363636365)",0.171590909,0.363636364,523
The stock market has gained almost $3 trillion in value since the election on November 8�a record.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,524
"We've saved taxpayers hundreds of millions of dollars by bringing down the price of fantastic�and it is a fantastic�new F-35 jet fighter, and we'll be saving billions more on contracts all across our Government.","Sentiment(polarity=0.17222222222222222, subjectivity=0.3944444444444445)",0.172222222,0.394444444,525
We have placed a hiring freeze on nonmilitary and nonessential Federal workers.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,526
We have begun to drain the swamp of government corruption by imposing a 5-year ban on lobbying by executive branch officials and a lifetime ban�[applause]�thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,527
Thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,528
And a lifetime ban on becoming lobbyists for a foreign government.,"Sentiment(polarity=0.1625, subjectivity=0.48750000000000004)",0.1625,0.4875,529
"We have undertaken a historic effort to massively reduce job-crushing regulations, creating a deregulation Task Force inside of every Government agency.","Sentiment(polarity=0.0, subjectivity=0.5)",0,0.5,530
"And we're imposing a new rule which mandates that for every one new regulation, two old regulations must be eliminated.","Sentiment(polarity=0.12424242424242422, subjectivity=0.3696969696969697)",0.124242424,0.36969697,531
We're going to stop the regulations that threaten the future and livelihood of our great coal miners.,"Sentiment(polarity=0.4, subjectivity=0.4375)",0.4,0.4375,532
"We have cleared the way for the construction of the Keystone and Dakota Access pipelines, thereby creating tens of thousands of jobs.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,533
And I've issued a new directive that new American pipelines be made with American steel.,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",0.068181818,0.227272727,534
We have withdrawn the United States from the job-killing Trans-Pacific Partnership.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,535
"And with the help of Prime Minister Justin Trudeau, we have formed a council with our neighbors in Canada to help ensure that women entrepreneurs have access to the networks, markets, and capital they need to start a business and live out their financial dreams.","Sentiment(polarity=0.06818181818181818, subjectivity=0.25)",0.068181818,0.25,536
"To protect our citizens, I have directed the Department of Justice to form a Task Force on Reducing Violent Crime.","Sentiment(polarity=-0.8, subjectivity=1.0)",-0.8,1,537
"I have further ordered the Departments of Homeland Security and Justice, along with the Department of State and the Director of National Intelligence, to coordinate an aggressive strategy to dismantle the criminal cartels that have spread all across our Nation.","Sentiment(polarity=-0.2, subjectivity=0.525)",-0.2,0.525,538
"We will stop the drugs from pouring into our country and poisoning our youth, and we will expand treatment for those who have become so badly addicted.","Sentiment(polarity=-0.4, subjectivity=0.6)",-0.4,0.6,539
"At the same time, my administration has answered the pleas of the American people for immigration enforcement and border security.","Sentiment(polarity=0.0, subjectivity=0.0625)",0,0.0625,540
"By finally enforcing our immigration laws, we will raise wages, help the unemployed, save billions and billions of dollars, and make our communities safer for everyone.","Sentiment(polarity=0.0, subjectivity=1.0)",0,1,541
"We want all Americans to succeed, but that can't happen in an environment of lawless chaos.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,542
We must restore integrity and the rule of law at our borders.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,543
"For that reason, we will soon begin the construction of a great, great wall along our southern border.","Sentiment(polarity=0.5333333333333333, subjectivity=0.5)",0.533333333,0.5,544
"As we speak tonight, we are removing gang members, drug dealers, and criminals that threaten our communities and prey on our very innocent citizens.","Sentiment(polarity=0.65, subjectivity=0.9099999999999999)",0.65,0.91,545
"Bad ones are going out as I speak, and as I've promised throughout the campaign.","Sentiment(polarity=-0.6999999999999998, subjectivity=0.6666666666666666)",-0.7,0.666666667,546
"To any in Congress who do not believe we should enforce our laws, I would ask you this one question: What would you say to the American family that loses their jobs, their income, or their loved one because America refused to uphold its laws and defend its borders?","Sentiment(polarity=0.13333333333333333, subjectivity=0.3)",0.133333333,0.3,547
"Our obligation is to serve, protect, and defend the citizens of the United States.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,548
We are also taking strong measures to protect our Nation from radical Islamic terrorism.,"Sentiment(polarity=0.4333333333333333, subjectivity=0.7333333333333333)",0.433333333,0.733333333,549
"According to data provided by the Department of Justice, the vast majority of individuals convicted of terrorism and terrorism-related offenses since 9/11 came here from outside of our country.","Sentiment(polarity=0.0, subjectivity=0.525)",0,0.525,550
"We have seen the attacks at home, from Boston to San Bernardino to the Pentagon, and, yes, even the World Trade Center.","Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1,551
"We have seen the attacks in France, in Belgium, in Germany, and all over the world.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,552
"It is not compassionate, but reckless to allow uncontrolled entry from places where proper vetting cannot occur.","Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,553
Those given the high honor of admission to the United States should support this country and love its people and its values.,"Sentiment(polarity=0.33, subjectivity=0.57)",0.33,0.57,554
We cannot allow a beachhead of terrorism to form inside America.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,555
We cannot allow our Nation to become a sanctuary for extremists.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,556
"That is why my administration has been working on improved vetting procedures, and we will shortly take new steps to keep our Nation safe and to keep those out who will do us harm.","Sentiment(polarity=0.21212121212121213, subjectivity=0.41818181818181815)",0.212121212,0.418181818,557
"As promised, I directed the Department of Defense to develop a plan to demolish and destroy ISIS, a network of lawless savages that have slaughtered Muslims and Christians, and men and women and children of all faiths and all beliefs.","Sentiment(polarity=-0.2, subjectivity=0.0)",-0.2,0,558
"We will work with our allies, including our friends and allies in the Muslim world, to extinguish this vile enemy from our planet.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,559
I have also imposed new sanctions on entities and individuals who support Iran's ballistic missile program and reaffirmed our unbreakable alliance with the State of Israel.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.136363636,0.454545455,560
"Finally, I have kept my promise to appoint a Justice to the United States Supreme Court, from my list of 20 judges, who will defend our Constitution.","Sentiment(polarity=0.0, subjectivity=1.0)",0,1,561
I am greatly honored to have Maureen Scalia with us in the gallery tonight.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,562
"Thank you, Maureen.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,563
"Her late, great husband, Antonin Scalia, will forever be a symbol of American justice.","Sentiment(polarity=0.16666666666666666, subjectivity=0.45)",0.166666667,0.45,564
"To fill his seat, we have chosen Judge Neil Gorsuch, a man of incredible skill and deep devotion to the law.","Sentiment(polarity=0.45, subjectivity=0.65)",0.45,0.65,565
"He was confirmed unanimously by the Court of Appeals, and I am asking the Senate to swiftly approve his nomination.","Sentiment(polarity=0.4, subjectivity=1.0)",0.4,1,566
"Tonight, as I outline the next steps we must take as a country, we must honestly acknowledge the circumstances we inherited.","Sentiment(polarity=0.3, subjectivity=0.45)",0.3,0.45,567
Ninety-four million Americans are out of the labor force.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,568
"Over 43 million people are now living in poverty, and over 43 million Americans are on food stamps.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,569
More than 1 in 5 people in their prime working years are not working.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,570
We have the worst financial recovery in 65 years.,"Sentiment(polarity=-0.5, subjectivity=0.5)",-0.5,0.5,571
"In the last 8 years, the past administration has put on more new debt than nearly all of the other Presidents combined.","Sentiment(polarity=0.06022727272727272, subjectivity=0.3410353535353536)",0.060227273,0.341035354,572
"We've lost more than one-fourth of our manufacturing jobs since NAFTA was approved, and we've lost 60,000 factories since China joined the World Trade Organization in 2001.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,573
Our trade deficit in goods with the world last year was nearly $800 billion dollars.,"Sentiment(polarity=0.05, subjectivity=0.23333333333333334)",0.05,0.233333333,574
And overseas we have inherited a series of tragic foreign policy disasters.,"Sentiment(polarity=-0.4375, subjectivity=0.4375)",-0.4375,0.4375,575
Solving these and so many other pressing problems will require us to work past the differences of party.,"Sentiment(polarity=0.041666666666666664, subjectivity=0.375)",0.041666667,0.375,576
It will require us to tap into the American spirit that has overcome every challenge throughout our long and storied history.,"Sentiment(polarity=-0.025, subjectivity=0.2)",-0.025,0.2,577
"But to accomplish our goals at home and abroad, we must restart the engine of the American economy, making it easier for companies to do business in the United States, and much, much harder for companies to leave our country.","Sentiment(polarity=-0.05, subjectivity=0.0)",-0.05,0,578
Right now American companies are taxed at one of the highest rates anywhere in the world.,"Sentiment(polarity=0.14285714285714285, subjectivity=0.26785714285714285)",0.142857143,0.267857143,579
My economic team is developing historic tax reform that will reduce the tax rate on our companies so they can compete and thrive anywhere and with anyone.,"Sentiment(polarity=0.1, subjectivity=0.1)",0.1,0.1,580
"It will be a big, big cut.","Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,581
"At the same time, we will provide massive tax relief for the middle class.","Sentiment(polarity=0.0, subjectivity=0.375)",0,0.375,582
We must create a level playing field for American companies and our workers�have to do it.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,583
"Currently, when we ship products out of America, many other countries make us pay very high tariffs and taxes.","Sentiment(polarity=0.14575, subjectivity=0.49424999999999997)",0.14575,0.49425,584
"But when foreign companies ship their products into America, we charge them nothing, or almost nothing.","Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125,585
"I just met with officials and workers from a great American company, Harley-Davidson.","Sentiment(polarity=0.4, subjectivity=0.375)",0.4,0.375,586
"In fact, they proudly displayed five of their magnificent motorcycles, made in the U.S.A., on the front lawn of the White House.","Sentiment(polarity=0.6, subjectivity=0.6666666666666666)",0.6,0.666666667,587
"[Laughter] And they wanted me to ride one, and I said, ""No, thank you.""","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,588
"[Laughter]
At our meeting, I asked them, how are you doing, how is business?","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,589
They said that it's good.,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6,590
"I asked them further, how are you doing with other countries, mainly international sales?","Sentiment(polarity=-0.041666666666666664, subjectivity=0.2916666666666667)",-0.041666667,0.291666667,591
"They told me�without even complaining, because they have been so mistreated for so long that they've become used to it�that it's very hard to do business with other countries because they tax our goods at such a high rate.","Sentiment(polarity=-0.07883333333333334, subjectivity=0.5038333333333334)",-0.078833333,0.503833333,592
"They said that in the case of another country, they taxed their motorcycles at 100 percent.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,593
They weren't even asking for a change.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,594
But I am.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,595
"I believe strongly in free trade, but it also has to be fair trade.","Sentiment(polarity=0.55, subjectivity=0.8500000000000001)",0.55,0.85,596
It's been a long time since we had fair trade.,"Sentiment(polarity=0.32499999999999996, subjectivity=0.65)",0.325,0.65,597
"The first Republican President, Abraham Lincoln, warned that the ""abandonment of the protective policy by the American Government will produce want and ruin among our people.""","Sentiment(polarity=0.125, subjectivity=0.16666666666666666)",0.125,0.166666667,598
"Lincoln was right, and it's time we heeded his advice and his words.","Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.285714286,0.535714286,599
I am not going to let America and its great companies and workers be taken advantage of us any longer.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,600
They have taken advantage of our country.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,601
No longer.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,602
I am going to bring back millions of jobs.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,603
Protecting our workers also means reforming our system of legal immigration.,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,604
"The current, outdated system depresses wages for our poorest workers and puts great pressure on taxpayers.","Sentiment(polarity=0.13333333333333333, subjectivity=0.5944444444444444)",0.133333333,0.594444444,605
"Nations around the world like Canada, Australia, and many others, have a merit-based immigration system.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,606
It's a basic principle that those seeking to enter a country ought to be able to support themselves financially.,"Sentiment(polarity=0.16666666666666666, subjectivity=0.25)",0.166666667,0.25,607
"Yet, in America, we do not enforce this rule, straining the very public resources that our poorest citizens rely upon.","Sentiment(polarity=0.0, subjectivity=0.08666666666666667)",0,0.086666667,608
"According to the National Academy of Sciences, our current immigration system costs American taxpayers many billions of dollars a year.","Sentiment(polarity=0.16666666666666666, subjectivity=0.3)",0.166666667,0.3,609
"Switching away from this current system of lower skilled immigration, and instead adopting a merit-based system, we will have so many more benefits.","Sentiment(polarity=0.375, subjectivity=0.475)",0.375,0.475,610
"It will save countless dollars, raise workers' wages, and help struggling families�including immigrant families�enter the middle class.","Sentiment(polarity=0.0, subjectivity=0.25)",0,0.25,611
"And they will do it quickly, and they will be very, very happy, indeed.","Sentiment(polarity=0.6666666666666666, subjectivity=0.75)",0.666666667,0.75,612
"I believe that real and positive immigration reform is possible, as long as we focus on the following goals: to improve jobs and wages for Americans, to strengthen our Nation's security, and to restore respect for our laws.","Sentiment(polarity=0.07545454545454545, subjectivity=0.4690909090909091)",0.075454545,0.469090909,613
"If we are guided by the wellbeing of American citizens, then I believe Republicans and Democrats can work together to achieve an outcome that has eluded our country for decades.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,614
"Another Republican President, Dwight D. Eisenhower, initiated the last truly great national infrastructure program�the building of the Interstate Highway System.","Sentiment(polarity=0.4, subjectivity=0.4083333333333333)",0.4,0.408333333,615
The time has come for a new program of national rebuilding.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.136363636,0.454545455,616
"America has spent approximately $6 trillion in the Middle East; all the while, our infrastructure at home is crumbling.","Sentiment(polarity=-0.16666666666666666, subjectivity=0.2333333333333333)",-0.166666667,0.233333333,617
"With this $6 trillion, we could have rebuilt our country twice, and maybe even three times if we had people who had the ability to negotiate.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,618
"[Laughter]
To launch our national rebuilding, I will be asking Congress to approve legislation that produces a $1 trillion investment in infrastructure of the United States�financed through both public and private capital�creating millions of new jobs.","Sentiment(polarity=0.04545454545454545, subjectivity=0.29873737373737375)",0.045454545,0.298737374,619
This effort will be guided by two core principles: buy American and hire American.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,620
"Tonight I am also calling on this Congress to repeal and replace Obamacare with reforms that expand choice, increase access, lower costs, and at the same time, provide better health care.","Sentiment(polarity=0.25, subjectivity=0.3125)",0.25,0.3125,621
Mandating every American to buy Government-approved health insurance was never the right solution for our country.,"Sentiment(polarity=0.14285714285714285, subjectivity=0.26785714285714285)",0.142857143,0.267857143,622
"The way to make health insurance available to everyone is to lower the cost of health insurance, and that is what we are going do.","Sentiment(polarity=0.4, subjectivity=0.4)",0.4,0.4,623
Obamacare premiums nationwide have increased by double and triple digits.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,624
"As an example, Arizona went up 116 percent last year alone.","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0,0.066666667,625
Governor Matt Bevin of Kentucky just said Obamacare is failing in his State�the State of Kentucky�and it's unsustainable and collapsing.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,626
"One-third of the counties have only one insurer, and they are losing them fast.","Sentiment(polarity=0.1, subjectivity=0.8)",0.1,0.8,627
They are losing them so fast.,"Sentiment(polarity=0.2, subjectivity=0.6)",0.2,0.6,628
"They are leaving, and many Americans have no choice at all.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,629
There's no choice left.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,630
Remember when you were told that you could keep your doctor and keep your plan?,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,631
We now know that all of those promises have been totally broken.,"Sentiment(polarity=-0.4, subjectivity=0.4)",-0.4,0.4,632
"Obamacare is collapsing, and we must act decisively to protect all Americans.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,633
"Action is not a choice, it is a necessity.","Sentiment(polarity=0.1, subjectivity=0.1)",0.1,0.1,634
So I am calling on all Democrats and Republicans in Congress to work with us to save Americans from this imploding Obamacare disaster.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,635
"Here are the principles that should guide the Congress as we move to create a better health care system for all Americans:
First, we should ensure that Americans with preexisting conditions have access to coverage, and that we have a stable transition for Americans currently enrolled in the health care exchanges.","Sentiment(polarity=0.25, subjectivity=0.41111111111111115)",0.25,0.411111111,636
"Secondly, we should help Americans purchase their own coverage through the use of tax credits and expanded health savings accounts, but it must be the plan they want, not the plan forced on them by our Government.","Sentiment(polarity=0.09999999999999998, subjectivity=0.39999999999999997)",0.1,0.4,637
"Thirdly, we should give our State Governors the resources and flexibility they need with Medicaid to make sure no one is left out.","Sentiment(polarity=0.16666666666666666, subjectivity=0.2962962962962963)",0.166666667,0.296296296,638
"Fourth, we should implement legal reforms that protect patients and doctors from unnecessary costs that drive up the price of insurance and work to bring down the artificially high price of drugs and bring them down immediately.","Sentiment(polarity=-0.05851851851851853, subjectivity=0.3696296296296296)",-0.058518519,0.36962963,639
"And finally, the time has come to give Americans the freedom to purchase health insurance across State lines, which will create a truly competitive national marketplace that will bring costs way down and provide far better care.","Sentiment(polarity=0.1111111111111111, subjectivity=0.6972222222222222)",0.111111111,0.697222222,640
So important.,"Sentiment(polarity=0.4, subjectivity=1.0)",0.4,1,641
Everything that is broken in our country can be fixed.,"Sentiment(polarity=-0.15000000000000002, subjectivity=0.30000000000000004)",-0.15,0.3,642
Every problem can be solved.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,643
And every hurting family can find healing and hope.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,644
"Our citizens deserve this and so much more, so why not join forces and finally get the job done, and get it done right?","Sentiment(polarity=0.2619047619047619, subjectivity=0.6785714285714285)",0.261904762,0.678571429,645
"On this and so many other things, Democrats and Republicans should get together and unite for the good of our country and for the good of the American people.","Sentiment(polarity=0.355, subjectivity=0.41500000000000004)",0.355,0.415,646
My administration wants to work with members of both parties to make childcare accessible and affordable; to help ensure new parents that they have paid family leave; to invest in women's health; and to promote clean air and clean water; and to rebuild our military and our infrastructure.,"Sentiment(polarity=0.22411616161616163, subjectivity=0.40492424242424246)",0.224116162,0.404924242,647
"True love for our people requires us to find common ground, to advance the common good, and to cooperate on behalf of every American child who deserves a much brighter future.","Sentiment(polarity=0.14375, subjectivity=0.39687500000000003)",0.14375,0.396875,648
"An incredible young woman is with us this evening, who should serve as an inspiration to us all.","Sentiment(polarity=0.5, subjectivity=0.65)",0.5,0.65,649
"Today is Rare Disease Day, and joining us in the gallery is a rare disease survivor, Megan Crowley.","Sentiment(polarity=0.3, subjectivity=0.9)",0.3,0.9,650
"Megan was diagnosed with Pompe disease, a rare and serious illness, when she was 15 months old.","Sentiment(polarity=0.022222222222222227, subjectivity=0.5888888888888889)",0.022222222,0.588888889,651
She was not expected to live past 5.,"Sentiment(polarity=-0.02121212121212122, subjectivity=0.3833333333333333)",-0.021212121,0.383333333,652
"On receiving this news, Megan's dad John fought with everything he had to save the life of his precious child.","Sentiment(polarity=0.5, subjectivity=1.0)",0.5,1,653
